symbol_latest,name_latest,liquidity_risk_score_previous,liquidity_risk_score_latest,risk_score_change,market_cap_change_pct,volume_change_pct,volume_to_market_cap_ratio_previous,volume_to_market_cap_ratio_latest,ingested_at_utc_previous,ingested_at_utc_latest
u,United Stables,15,25,10,0.0,-76.11661379467756,0.0215,0.0051,20260709T134236Z,20260709T134358Z
fdusd,First Digital USD,0,8,8,-0.01539432948929399,-82.52296497204392,0.1881,0.0329,20260709T134236Z,20260709T134358Z
m,MemeCore,75,75,0,-0.24370654843220638,-0.07364405821844282,0.009,0.009,20260709T134236Z,20260709T134358Z
ub,Unibase,48,48,0,0.0,0.315563111183171,0.0476,0.0477,20260709T134236Z,20260709T134358Z
lab,LAB,40,40,0,0.0,-1.1900925157287272,1.1225,1.1092,20260709T134236Z,20260709T134358Z
velvet,Velvet,38,38,0,0.0,0.17608463699726598,0.0487,0.0488,20260709T134236Z,20260709T134358Z
adi,ADI,35,35,0,0.0,-0.19337625667808134,0.0019,0.0019,20260709T134236Z,20260709T134358Z
beat,Audiera,35,35,0,0.0,-0.3344193161060467,0.0227,0.0227,20260709T134236Z,20260709T134358Z
hash,Provenance Blockchain,35,35,0,0.0,0.0026785863760376083,0.0,0.0,20260709T134236Z,20260709T134358Z
wfi,WeFi,35,35,0,-0.0163891909115668,0.05428193709143856,0.0095,0.0095,20260709T134236Z,20260709T134358Z
